Store_ID,Vendor_ID,Product_SKU,Revenue,Units_Sold,Transaction_ID,Day,Month,Year,Quarter,StoreName,VendorName,Category,Product_Brand,Discount_Applied,Customer_Segment,Sales_Channel
ST0021,VND0009,AMD-R7700,169996,5,TXN000001,8,8,2023,3,PCWorld Ahmedabad,Bose India,Processors,AMD,0.15,Professional,In-Store
ST0043,VND0011,PAN-GH6,129999,1,TXN000002,26,11,2024,4,DigitalHub Coimbatore,Sony India,Camera,Panasonic,0.35,Business,Online
ST0028,VND0032,LEN-T14,213747,3,TXN000003,21,10,2024,4,DroneHub Bangalore,Garmin India,Laptops,Lenovo,0.05,Gaming,In-Store
ST0015,VND0043,VIV-X90,42899,1,TXN000004,2,8,2023,3,ProCam Surat,Lenovo India,Smartphones,Vivo,0.22,Fitness,Online
ST0049,VND0008,APL-MBA13,457596,4,TXN000005,9,11,2022,4,DigitalEdge Hyderabad,Asus India,Laptops,Apple,0.12,Mass Market,In-Store
ST0007,VND0011,HAR-KAR3,51999,2,TXN000006,14,2,2024,1,OfficeMax Pune,Sony India,Audio,Harman Kardon,0.35,Business,Online
ST0030,VND0013,JBL-FLP6,12479,1,TXN000007,5,3,2023,1,TechCenter Mumbai,TCL India,Audio,JBL,0.22,Professional,Online
ST0021,VND0049,AMD-R7700,33999,1,TXN000008,26,1,2023,1,PCWorld Ahmedabad,DJI India,Processors,AMD,0.15,Mass Market,In-Store
ST0030,VND0037,LOG-MX3,7599,1,TXN000009,10,7,2022,3,TechCenter Mumbai,Corsair India,Accessories,Logitech,0.05,Adventure,Online
ST0015,VND0005,VIV-X90,52249,1,TXN000010,11,3,2023,1,ProCam Surat,HP India,Smartphones,Vivo,0.05,Gaming,Online
ST0010,VND0032,TCL-55C8,361246,5,TXN000011,20,12,2023,4,MobileMart Lucknow,Garmin India,Television,TCL,0.15,Professional,Online
ST0013,VND0004,LOG-MX3,12478,2,TXN000012,3,3,2022,1,WearTech Nagpur,LG Electronics,Accessories,Logitech,0.22,Premium,Online
ST0045,VND0041,SEN-A7IV,140399,1,TXN000013,19,5,2024,2,ElectroVibe Mumbai,Kinesis India,Camera,Sony,0.22,Student,Online
ST0031,VND0008,GAR-WTC6,112496,5,TXN000014,2,4,2023,2,DigitalStore Chennai,Asus India,Wearables,Garmin,0.1,Adventure,Online
ST0017,VND0014,TCL-55C8,373996,5,TXN000015,7,2,2023,1,BudgetTech Nagpur,Lenovo India,Television,TCL,0.12,Student,In-Store
